ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
2763,20300,MW00000,GM0363,2012JJ00,Amsterdam,Gemeente,GM0363,73.9
2764,20300,MW00000,GM0363,2016JJ00,Amsterdam,Gemeente,GM0363,73.8
2765,20300,MW00000,GM0363,2020JJ00,Amsterdam,Gemeente,GM0363,78.2
2766,20300,MW00000,WK036300,2012JJ00,Amsterdam,Wijk,WK036300,81.8
2767,20300,MW00000,WK036300,2016JJ00,Amsterdam,Wijk,WK036300,81.8
2768,20300,MW00000,WK036300,2020JJ00,Amsterdam,Wijk,WK036300,84.6
2769,20300,MW00000,BU03630000,2012JJ00,Amsterdam,Buurt,BU03630000,82.8
2770,20300,MW00000,BU03630000,2016JJ00,Amsterdam,Buurt,BU03630000,82.2
2771,20300,MW00000,BU03630000,2020JJ00,Amsterdam,Buurt,BU03630000,84.4
2772,20300,MW00000,BU03630001,2012JJ00,Amsterdam,Buurt,BU03630001,80.6
2773,20300,MW00000,BU03630001,2016JJ00,Amsterdam,Buurt,BU03630001,80.4
2774,20300,MW00000,BU03630001,2020JJ00,Amsterdam,Buurt,BU03630001,84.0
2775,20300,MW00000,BU03630002,2012JJ00,Amsterdam,Buurt,BU03630002,80.9
2776,20300,MW00000,BU03630002,2016JJ00,Amsterdam,Buurt,BU03630002,81.5
2777,20300,MW00000,BU03630002,2020JJ00,Amsterdam,Buurt,BU03630002,84.3
2778,20300,MW00000,BU03630003,2012JJ00,Amsterdam,Buurt,BU03630003,85.2
2779,20300,MW00000,BU03630003,2016JJ00,Amsterdam,Buurt,BU03630003,86.7
2780,20300,MW00000,BU03630003,2020JJ00,Amsterdam,Buurt,BU03630003,87.5
2781,20300,MW00000,BU03630004,2012JJ00,Amsterdam,Buurt,BU03630004,81.6
2782,20300,MW00000,BU03630004,2016JJ00,Amsterdam,Buurt,BU03630004,80.3
2783,20300,MW00000,BU03630004,2020JJ00,Amsterdam,Buurt,BU03630004,85.0
2784,20300,MW00000,WK036301,2012JJ00,Amsterdam,Wijk,WK036301,83.1
2785,20300,MW00000,WK036301,2016JJ00,Amsterdam,Wijk,WK036301,83.1
2786,20300,MW00000,WK036301,2020JJ00,Amsterdam,Wijk,WK036301,85.6
2787,20300,MW00000,BU03630100,2012JJ00,Amsterdam,Buurt,BU03630100,.
2788,20300,MW00000,BU03630100,2016JJ00,Amsterdam,Buurt,BU03630100,.
2789,20300,MW00000,BU03630100,2020JJ00,Amsterdam,Buurt,BU03630100,.
2790,20300,MW00000,BU03630101,2012JJ00,Amsterdam,Buurt,BU03630101,84.3
2791,20300,MW00000,BU03630101,2016JJ00,Amsterdam,Buurt,BU03630101,83.0
2792,20300,MW00000,BU03630101,2020JJ00,Amsterdam,Buurt,BU03630101,85.0
2793,20300,MW00000,BU03630102,2012JJ00,Amsterdam,Buurt,BU03630102,81.7
2794,20300,MW00000,BU03630102,2016JJ00,Amsterdam,Buurt,BU03630102,81.0
2795,20300,MW00000,BU03630102,2020JJ00,Amsterdam,Buurt,BU03630102,84.6
2796,20300,MW00000,BU03630103,2012JJ00,Amsterdam,Buurt,BU03630103,83.6
