ID;Leeftijd;Marges;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;ErvarenGezondheidGoedZeerGoed_4
3;20300;MW00000;NL01      ;2022JJ00;Nederland                               ;Land      ;NL01                ;    69.0
7;20300;MW00000;GM1680    ;2022JJ00;Aa en Hunze                             ;Gemeente  ;GM1680              ;    72.0
11;20300;MW00000;WK168000  ;2022JJ00;Aa en Hunze                             ;Wijk      ;WK168000            ;    73.0
15;20300;MW00000;BU16800000;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800000          ;    72.8
19;20300;MW00000;BU16800009;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800009          ;    78.5
23;20300;MW00000;WK168001  ;2022JJ00;Aa en Hunze                             ;Wijk      ;WK168001            ;    74.0
27;20300;MW00000;BU16800100;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800100          ;    74.1
31;20300;MW00000;BU16800109;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800109          ;    73.4
35;20300;MW00000;WK168002  ;2022JJ00;Aa en Hunze                             ;Wijk      ;WK168002            ;    74.4
39;20300;MW00000;BU16800200;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800200          ;    73.7
43;20300;MW00000;BU16800209;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800209          ;    77.9
47;20300;MW00000;WK168003  ;2022JJ00;Aa en Hunze                             ;Wijk      ;WK168003            ;    75.6
51;20300;MW00000;BU16800300;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800300          ;    75.5
55;20300;MW00000;BU16800309;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800309          ;    78.0
59;20300;MW00000;WK168004  ;2022JJ00;Aa en Hunze                             ;Wijk      ;WK168004            ;    76.4
63;20300;MW00000;BU16800400;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800400          ;    75.9
67;20300;MW00000;BU16800409;2022JJ00;Aa en Hunze                             ;Buurt     ;BU16800409          ;    80.6
