"","ID","Geslacht","LeeftijdOp31December","InkomenEnWelvaart","Marges","Perioden","Levensverwachting_1","LVInAlsGoedErvarenGezondheid_2","LVZonderLichamelijkeBeperkingen_3","LVZonderPsychischeKlachtenMHI5_4","LVZonderGALIBeperkingen_5"
"1",0,"T001038",10010,1014752,"MW00000","2007G400",76.7,52.7,"61.6",NA,NA
"2",1,"T001038",10010,1014752,"MW00000","2011G400",76.2,50.4,"60.8",NA,NA
"3",2,"T001038",10010,1014752,"MW00000","2015G400",76.6,49.3,"77.6",NA,"45.7"
"4",3,"T001038",10010,1014752,"MW00000","2017G400",76.6,50.7,"61.6","62.0","50.7"
"5",4,"T001038",10010,1014752,"MW00000","2019G400",76.3,51.2,"61.6","60.1","64.6"
"6",5,"T001038",10010,1014752,"MOG0095","2007G400",76.6,51.8,".",NA,NA
"7",6,"T001038",10010,1014752,"MOG0095","2011G400",76.1,49.6,".",NA,NA
"8",7,"T001038",10010,1014752,"MOG0095","2015G400",76.5,48.3,".",NA,"44.7"
"9",8,"T001038",10010,1014752,"MOG0095","2017G400",76.6,49.7,".",".","49.7"
"10",9,"T001038",10010,1014752,"MOG0095","2019G400",76.2,50.2,".","59.1","."
"11",10,"T001038",10010,1014752,"MBG0095","2007G400",76.8,53.6,".",NA,NA
"12",11,"T001038",10010,1014752,"MBG0095","2011G400",76.3,51.3,".",NA,NA
"13",12,"T001038",10010,1014752,"MBG0095","2015G400",76.6,50.3,".",NA,"46.7"
"14",13,"T001038",10010,1014752,"MBG0095","2017G400",76.7,51.7,".",".","51.7"
"15",14,"T001038",10010,1014752,"MBG0095","2019G400",76.3,52.2,".","61.0","."
"16",15,"T001038",10010,1014753,"MW00000","2007G400",79.8,59,"67.0",NA,NA
"17",16,"T001038",10010,1014753,"MW00000","2011G400",80.5,58.5,"66.9",NA,NA
"18",17,"T001038",10010,1014753,"MW00000","2015G400",80.5,58.8,"67.3",NA,"54.0"
"19",18,"T001038",10010,1014753,"MW00000","2017G400",80.6,59,"68.0","70.8","53.3"
"20",19,"T001038",10010,1014753,"MW00000","2019G400",80.5,59.3,"68.3","68.5","53.7"
"21",20,"T001038",10010,1014753,"MOG0095","2007G400",79.7,58.3,".",NA,NA
"22",21,"T001038",10010,1014753,"MOG0095","2011G400",80.4,57.8,".",NA,NA
"23",22,"T001038",10010,1014753,"MOG0095","2015G400",80.4,58,".",NA,"53.1"
"24",23,"T001038",10010,1014753,"MOG0095","2017G400",80.6,58.1,".",".","52.4"
"25",24,"T001038",10010,1014753,"MOG0095","2019G400",80.4,58.4,".","67.7","."
"26",25,"T001038",10010,1014753,"MBG0095","2007G400",79.8,59.8,".",NA,NA
"27",26,"T001038",10010,1014753,"MBG0095","2011G400",80.5,59.2,".",NA,NA
"28",27,"T001038",10010,1014753,"MBG0095","2015G400",80.6,59.7,".",NA,"54.9"
"29",28,"T001038",10010,1014753,"MBG0095","2017G400",80.7,59.8,".",".","54.2"
"30",29,"T001038",10010,1014753,"MBG0095","2019G400",80.5,60.2,".","69.3","."
"31",30,"T001038",10010,1014754,"MW00000","2007G400",80.9,63.4,"68.9",NA,NA
"32",31,"T001038",10010,1014754,"MW00000","2011G400",81.8,64.9,"70.6",NA,NA
"33",32,"T001038",10010,1014754,"MW00000","2015G400",82.2,65.3,"72.6",NA,"59.4"
"34",33,"T001038",10010,1014754,"MW00000","2017G400",82.4,65.8,"73.0","75.2","58.9"
"35",34,"T001038",10010,1014754,"MW00000","2019G400",82.3,65.4,"73.4","73.1","58.8"
"36",35,"T001038",10010,1014754,"MOG0095","2007G400",80.8,62.7,".",NA,NA
"37",36,"T001038",10010,1014754,"MOG0095","2011G400",81.8,64.3,".",NA,NA
"38",37,"T001038",10010,1014754,"MOG0095","2015G400",82.2,64.5,".",NA,"58.6"
"39",38,"T001038",10010,1014754,"MOG0095","2017G400",82.3,65.1,".",".","58.2"
